ELEM_KOD;TELEP_NEV;JARAS_NEV;MEGYE_NEV;REGIO_NEV;NAGYREGIO_NEV;VALUE
2191;Dör;Csornai;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;461.1
2518;Jászjákóhalma;Jászberényi;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;423.3
3366;Lébény;Mosonmagyaróvári;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;505.3
3371;Rábaszentmihály;Téti;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;541.8
1525;Lábatlan;Esztergomi;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;452.7
2867;Gyepükaján;Sümegi;Veszprém;Közép-Dunántúl;Dunántúl;380.2
2874;Sellye;Sellyei;Baranya;Dél-Dunántúl;Dunántúl;453.2
3209;Királd;Putnoki;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;354.8
3376;Szászvár;Komlói;Baranya;Dél-Dunántúl;Dunántúl;504
1432;Vaspör;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;617.6
1535;Nyergesújfalu;Esztergomi;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;458.2
1537;Etes;Salgótarjáni;Nógrád;Észak-Magyarország;Alföld és Észak;307.6
2039;Vasasszonyfa;Szombathelyi;Vas;Nyugat-Dunántúl;Dunántúl;489.8
2040;Gyömöre;Téti;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;398.7
2939;Hencida;Berettyóújfalui;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;220.2
3106;Szava;Siklósi;Baranya;Dél-Dunántúl;Dunántúl;308.2
1478;Tardona;Kazincbarcikai;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;503.6
1510;Szenna;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;448.1
1538;Pécsdevecser;Siklósi;Baranya;Dél-Dunántúl;Dunántúl;425.3
1544;Szentendre;Szentendrei;Pest;Pest;Közép-Magyarország;495.1
1321;Tunyogmatolcs;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;379.5
1526;Kéked;Gönci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;229.2
2364;Göd;Dunakeszi;Pest;Pest;Közép-Magyarország;460.8
1651;Nagyrada;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;494.3
3312;Berhida;Várpalotai;Veszprém;Közép-Dunántúl;Dunántúl;411.9
1662;Magy;Baktalórántházai;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;449.2
2478;Nagykálló;Nagykállói;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;446.1
2645;Kadarkút;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;435.6
2652;Nóráp;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;475.1
2654;Kup;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;497.5
2823;Dabrony;Devecseri;Veszprém;Közép-Dunántúl;Dunántúl;490.4
1645;Nagyvejke;Bonyhádi;Tolna;Dél-Dunántúl;Dunántúl;469.8
1979;Szalmatercs;Szécsényi;Nógrád;Észak-Magyarország;Alföld és Észak;337
2664;Vaszar;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;502.7
2665;Járdánháza;Ózdi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;358.4
3338;Acsalag;Csornai;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;560.3
1487;Mátraderecske;Pétervásárai;Heves;Észak-Magyarország;Alföld és Észak;399
2162;Zomba;Bonyhádi;Tolna;Dél-Dunántúl;Dunántúl;549.7
2841;Visegrád;Szentendrei;Pest;Pest;Közép-Magyarország;446.2
1743;Jásd;Várpalotai;Veszprém;Közép-Dunántúl;Dunántúl;499.2
2079;Und;Soproni;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;1,848.9
2118;Koppányszántó;Tamási;Tolna;Dél-Dunántúl;Dunántúl;395.9
2276;Szekszárd;Szekszárdi;Tolna;Dél-Dunántúl;Dunántúl;476.7
2093;Szakonyfalu;Szentgotthárdi;Vas;Nyugat-Dunántúl;Dunántúl;603.2
2422;Kovácshida;Siklósi;Baranya;Dél-Dunántúl;Dunántúl;405.9
2769;Maklár;Egri;Heves;Észak-Magyarország;Alföld és Észak;488.6
1558;Pusztazámor;Érdi;Pest;Pest;Közép-Magyarország;491.5
1588;Drávatamási;Barcsi;Somogy;Dél-Dunántúl;Dunántúl;219.2
2436;Felsőörs;Balatonalmádi;Veszprém;Közép-Dunántúl;Dunántúl;523.7
3382;Neszmély;Tatai;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;505.8
1427;Káptalanfa;Sümegi;Veszprém;Közép-Dunántúl;Dunántúl;456.8
1529;Újszász;Szolnoki;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;344
1471;Szálka;Szekszárdi;Tolna;Dél-Dunántúl;Dunántúl;564.5
1472;Pálfiszeg;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;620.7
3052;Alsóörs;Balatonfüredi;Veszprém;Közép-Dunántúl;Dunántúl;582.1
1605;Sajószentpéter;Kazincbarcikai;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;320.5
1239;Kistokaj;Miskolci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;486.2
1242;Rákócziújfalu;Szolnoki;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;401.3
1233;Tompaládony;Sárvári;Vas;Nyugat-Dunántúl;Dunántúl;569.2
553;Kallósd;Zalaszentgróti;Zala;Nyugat-Dunántúl;Dunántúl;443.3
670;Borsodivánka;Mezőkövesdi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;302.5
3362;Fülöpjakab;Kecskeméti;Bács-Kiskun;Dél-Alföld;Alföld és Észak;531.1
1409;Tiszaug;Tiszakécskei;Bács-Kiskun;Dél-Alföld;Alföld és Észak;379.6
415;Tárnok;Érdi;Pest;Pest;Közép-Magyarország;475.7
421;Nyomár;Edelényi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;421.9
3399;Farád;Csornai;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;527
3400;Berekfürdő;Karcagi;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;517.8
1500;Németkér;Paksi;Tolna;Dél-Dunántúl;Dunántúl;493
1963;Páli;Csornai;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;461.9
2013;Rábasebes;Csornai;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;573.2
433;Mátraszőlős;Pásztói;Nógrád;Észak-Magyarország;Alföld és Észak;466
449;Sényő;Nyíregyházi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;432.2
911;Tiszaeszlár;Tiszavasvári;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;276.1
2882;Szeremle;Bajai;Bács-Kiskun;Dél-Alföld;Alföld és Észak;458.8
3047;Babócsa;Barcsi;Somogy;Dél-Dunántúl;Dunántúl;366.4
3049;Mekényes;Hegyháti;Baranya;Dél-Dunántúl;Dunántúl;400
3053;Dóc;Szegedi;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;444.8
1437;Fülpösdaróc;Mátészalkai;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;257.9
1439;Bakháza;Nagyatádi;Somogy;Dél-Dunántúl;Dunántúl;269.9
847;Szajk;Bólyi;Baranya;Dél-Dunántúl;Dunántúl;528.8
3259;Dénesfa;Kapuvári;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;502.6
3260;Somogytúr;Fonyódi;Somogy;Dél-Dunántúl;Dunántúl;494.3
3269;Penyige;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;377
3280;Nagykorpád;Nagyatádi;Somogy;Dél-Dunántúl;Dunántúl;336.8
1272;Csehimindszent;Vasvári;Vas;Nyugat-Dunántúl;Dunántúl;425.8
1298;Vilyvitány;Sátoraljaújhelyi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;369.2
1917;Petrikeresztúr;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;524
1938;Tiszaladány;Tokaji;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;402
210;Maróc;Letenyei;Zala;Nyugat-Dunántúl;Dunántúl;759.3
218;Csopak;Balatonfüredi;Veszprém;Közép-Dunántúl;Dunántúl;541.2
2142;Szomor;Tatabányai;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;519.2
2144;Nagyberki;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;499.2
1627;Ordas;Kalocsai;Bács-Kiskun;Dél-Alföld;Alföld és Észak;480.5
2130;Sárvár;Sárvári;Vas;Nyugat-Dunántúl;Dunántúl;476.8
2136;Udvari;Tamási;Tolna;Dél-Dunántúl;Dunántúl;387.1
1414;Tápiószele;Nagykátai;Pest;Pest;Közép-Magyarország;370.4
1514;Vámosújfalu;Sárospataki;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;492.6
1582;Felsőnána;Bonyhádi;Tolna;Dél-Dunántúl;Dunántúl;428.1
2953;Vésztő;Szeghalmi;Békés;Dél-Alföld;Alföld és Észak;353.5
2959;Almáskamarás;Mezőkovácsházai;Békés;Dél-Alföld;Alföld és Észak;413.7
3377;Gyüre;Vásárosnaményi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;348.9
1717;Dabronc;Sümegi;Veszprém;Közép-Dunántúl;Dunántúl;494.7
3427;Farkaslyuk;Ózdi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;165.6
2439;Kiskunmajsa;Kiskunmajsai;Bács-Kiskun;Dél-Alföld;Alföld és Észak;459.5
1978;Kecel;Kiskőrösi;Bács-Kiskun;Dél-Alföld;Alföld és Észak;485.2
2309;Siójut;Siófoki;Somogy;Dél-Dunántúl;Dunántúl;541.3
2991;Tákos;Vásárosnaményi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;448.5
1606;Szajla;Pétervásárai;Heves;Észak-Magyarország;Alföld és Észak;362.1
1778;Mogyoród;Gödöllői;Pest;Pest;Közép-Magyarország;517.7
1822;Kaposmérő;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;523.7
1823;Nemeske;Szigetvári;Baranya;Dél-Dunántúl;Dunántúl;411.8
2618;Békéssámson;Orosházi;Békés;Dél-Alföld;Alföld és Észak;365.8
3129;Bocska;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;483.8
2659;Kercaszomor;Körmendi;Vas;Nyugat-Dunántúl;Dunántúl;718.2
456;Ábrahámhegy;Tapolcai;Veszprém;Közép-Dunántúl;Dunántúl;638.5
457;Márianosztra;Szobi;Pest;Pest;Közép-Magyarország;353.5
348;Edde;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;323.4
1547;Kismarja;Derecskei;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;276.7
1548;Kiszsidány;Kőszegi;Vas;Nyugat-Dunántúl;Dunántúl;566.3
1802;Nemesrádó;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;518
2245;Pécsely;Balatonfüredi;Veszprém;Közép-Dunántúl;Dunántúl;592.6
1415;Tokod;Esztergomi;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;426.1
1423;Buják;Pásztói;Nógrád;Észak-Magyarország;Alföld és Észak;411.2
2696;Magyargéc;Szécsényi;Nógrád;Észak-Magyarország;Alföld és Észak;332.5
654;Vindornyalak;Keszthelyi;Zala;Nyugat-Dunántúl;Dunántúl;494.4
2979;Méhtelek;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;300
2988;Bihartorda;Püspökladányi;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;363.6
296;Bükkszék;Pétervásárai;Heves;Észak-Magyarország;Alföld és Észak;519.3
3264;Kerkateskánd;Lenti;Zala;Nyugat-Dunántúl;Dunántúl;412.1
2406;Ősi;Várpalotai;Veszprém;Közép-Dunántúl;Dunántúl;459.4
2578;Salgótarján;Salgótarjáni;Nógrád;Észak-Magyarország;Alföld és Észak;424.9
2582;Erdősmárok;Mohácsi;Baranya;Dél-Dunántúl;Dunántúl;469.9
229;Tiszabábolna;Mezőkövesdi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;513.5
1238;Drávapiski;Siklósi;Baranya;Dél-Dunántúl;Dunántúl;252.5
1249;Zalaistvánd;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;559.2
1261;Kertészsziget;Szeghalmi;Békés;Dél-Alföld;Alföld és Észak;286.7
445;Nagylengyel;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;574
564;Szilvásvárad;Bélapátfalvai;Heves;Észak-Magyarország;Alföld és Észak;526.5
674;Diósjenő;Rétsági;Nógrád;Észak-Magyarország;Alföld és Észak;432.1
944;Gomba;Monori;Pest;Pest;Közép-Magyarország;443.6
284;Felsőzsolca;Miskolci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;447.4
1024;Hevesaranyos;Egri;Heves;Észak-Magyarország;Alföld és Észak;257.5
1255;Fancsal;Encsi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;462.8
2019;Lucfalva;Salgótarjáni;Nógrád;Észak-Magyarország;Alföld és Észak;350.7
2349;Mány;Bicskei;Fejér;Közép-Dunántúl;Dunántúl;483.3
596;Magyarcsanád;Makói;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;286.4
3201;Iszkaszentgyörgy;Székesfehérvári;Fejér;Közép-Dunántúl;Dunántúl;548.1
3190;Rásonysápberencs;Szikszói;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;318.5
3192;Beremend;Siklósi;Baranya;Dél-Dunántúl;Dunántúl;410.4
3440;Zákányfalu;Csurgói;Somogy;Dél-Dunántúl;Dunántúl;554.7
1750;Románd;Pannonhalmi;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;543.9
1794;Nagyatád;Nagyatádi;Somogy;Dél-Dunántúl;Dunántúl;489.8
1797;Jászdózsa;Jászapáti;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;429.2
150;Ipolyszög;Balassagyarmati;Nógrád;Észak-Magyarország;Alföld és Észak;388.8
1942;Kisar;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;386.6
2001;Bagamér;Nyíradonyi;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;263.7
2102;Hegyszentmárton;Sellyei;Baranya;Dél-Dunántúl;Dunántúl;470
2301;Ukk;Sümegi;Veszprém;Közép-Dunántúl;Dunántúl;474.8
272;Sáregres;Sárbogárdi;Fejér;Közép-Dunántúl;Dunántúl;422.6
2341;Sima;Gönci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;963
2265;Erdőkürt;Pásztói;Nógrád;Észak-Magyarország;Alföld és Észak;542.2
2282;Balatonszemes;Siófoki;Somogy;Dél-Dunántúl;Dunántúl;559
448;Oroszló;Komlói;Baranya;Dél-Dunántúl;Dunántúl;430.7
473;Bak;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;518.5
260;Zalaszentiván;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;495.6
1634;Besnyő;Dunaújvárosi;Fejér;Közép-Dunántúl;Dunántúl;511
3077;Hosszúvíz;Marcali;Somogy;Dél-Dunántúl;Dunántúl;418.2
3240;Magyarnándor;Balassagyarmati;Nógrád;Észak-Magyarország;Alföld és Észak;424.3
2914;Somogyhárságy;Szigetvári;Baranya;Dél-Dunántúl;Dunántúl;511.8
3090;Gasztony;Szentgotthárdi;Vas;Nyugat-Dunántúl;Dunántúl;604
819;Bordány;Mórahalmi;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;504.3
1713;Hernádszentandrás;Encsi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;202.4
1884;Mezősas;Berettyóújfalui;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;294.3
204;Narda;Szombathelyi;Vas;Nyugat-Dunántúl;Dunántúl;626
2321;Téglás;Hajdúhadházi;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;430.4
2333;Jászfényszaru;Jászberényi;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;454.1
2222;Marcaltő;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;509.6
2224;Pánd;Monori;Pest;Pest;Közép-Magyarország;352.9
1590;Nágocs;Tabi;Somogy;Dél-Dunántúl;Dunántúl;407.3
1591;Gyúró;Martonvásári;Fejér;Közép-Dunántúl;Dunántúl;554
2128;Somogyviszló;Szigetvári;Baranya;Dél-Dunántúl;Dunántúl;305.2
2132;Balatonszentgyörgy;Marcali;Somogy;Dél-Dunántúl;Dunántúl;580.3
3341;Perkupa;Edelényi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;278.6
3379;Lakhegy;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;578.5
1122;Hangács;Edelényi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;319.8
816;Tard;Mezőkövesdi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;487.1
1043;Szamossályi;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;305.4
2851;Porrogszentpál;Csurgói;Somogy;Dél-Dunántúl;Dunántúl;362.3
3025;Borzavár;Zirci;Veszprém;Közép-Dunántúl;Dunántúl;506.1
3087;Megyehíd;Sárvári;Vas;Nyugat-Dunántúl;Dunántúl;608.7
3089;Felsőszenterzsébet;Lenti;Zala;Nyugat-Dunántúl;Dunántúl;866.7
1014;Varbóc;Edelényi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;480
475;Misefa;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;511.7
595;Kissomlyó;Celldömölki;Vas;Nyugat-Dunántúl;Dunántúl;574.6
3200;Szentdénes;Szentlőrinci;Baranya;Dél-Dunántúl;Dunántúl;389.4
3204;Táplánszentkereszt;Szombathelyi;Vas;Nyugat-Dunántúl;Dunántúl;536.2
3226;Kilimán;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;436.6
3228;Csengele;Kisteleki;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;557.9
3254;Nemesnádudvar;Bajai;Bács-Kiskun;Dél-Alföld;Alföld és Észak;478.7
1171;Báta;Szekszárdi;Tolna;Dél-Dunántúl;Dunántúl;393.1
1669;Szőc;Ajkai;Veszprém;Közép-Dunántúl;Dunántúl;267
1673;Tarany;Nagyatádi;Somogy;Dél-Dunántúl;Dunántúl;360.5
1429;Ramocsa;Lenti;Zala;Nyugat-Dunántúl;Dunántúl;758.6
1433;Arló;Ózdi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;213.1
1701;Paloznak;Balatonfüredi;Veszprém;Közép-Dunántúl;Dunántúl;587.8
2708;Cakóháza;Csornai;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;344.3
2866;Belecska;Tamási;Tolna;Dél-Dunántúl;Dunántúl;398.7
2346;Budakalász;Szentendrei;Pest;Pest;Közép-Magyarország;457
2348;Pásztori;Csornai;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;335.1
2715;Nagyhalász;Ibrányi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;381.6
1619;Ambrózfalva;Makói;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;347
2455;Abasár;Gyöngyösi;Heves;Észak-Magyarország;Alföld és Észak;557.2
2627;Bőszénfa;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;353.7
2800;Öcsöd;Kunszentmártoni;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;314.7
2832;Hottó;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;557.2
2996;Homorúd;Mohácsi;Baranya;Dél-Dunántúl;Dunántúl;392.7
2472;Rábapordány;Csornai;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;520.6
2639;Pamuk;Fonyódi;Somogy;Dél-Dunántúl;Dunántúl;357.4
2392;Bakonyszentiván;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;377.4
2458;Rohod;Baktalórántházai;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;557
3249;Kondó;Miskolci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;422.5
2096;Gibárt;Gönci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;520.6
2423;Erdőtelek;Hevesi;Heves;Észak-Magyarország;Alföld és Észak;371.6
1609;Atkár;Gyöngyösi;Heves;Észak-Magyarország;Alföld és Észak;491.4
1610;Mesztegnyő;Marcali;Somogy;Dél-Dunántúl;Dunántúl;427.9
2783;Tornaszentandrás;Edelényi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;337.6
2788;Hásságy;Bólyi;Baranya;Dél-Dunántúl;Dunántúl;661.5
2798;Nagyszekeres;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;320.5
3105;Vámoscsalád;Sárvári;Vas;Nyugat-Dunántúl;Dunántúl;564.1
2067;Beregsurány;Vásárosnaményi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;405.7
2076;Medgyesbodzás;Mezőkovácsházai;Békés;Dél-Alföld;Alföld és Észak;347.8
2589;Monostorpályi;Derecskei;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;444.1
3102;Kistelek;Kisteleki;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;438
3272;Kisrécse;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;543.9
1593;Gönc;Gönci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;341.3
1599;Daraboshegy;Körmendi;Vas;Nyugat-Dunántúl;Dunántúl;652.6
1776;Zsombó;Mórahalmi;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;554
2614;Nagysimonyi;Celldömölki;Vas;Nyugat-Dunántúl;Dunántúl;483.6
560;Szederkény;Bólyi;Baranya;Dél-Dunántúl;Dunántúl;475.8
567;Gégény;Kemecsei;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;374.7
1490;Sármellék;Keszthelyi;Zala;Nyugat-Dunántúl;Dunántúl;511.7
1498;Pecöl;Sárvári;Vas;Nyugat-Dunántúl;Dunántúl;496.6
241;Kisbabot;Téti;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;500
2714;Komoró;Záhonyi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;338.5
2718;Nagykónyi;Tamási;Tolna;Dél-Dunántúl;Dunántúl;407.6
1854;Somogyszob;Nagyatádi;Somogy;Dél-Dunántúl;Dunántúl;453.4
2018;Tiszaroff;Kunhegyesi;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;304.2
3148;Nagyréde;Gyöngyösi;Heves;Észak-Magyarország;Alföld és Észak;548.4
3171;Sósvertike;Sellyei;Baranya;Dél-Dunántúl;Dunántúl;227.6
2504;Somogybükkösd;Csurgói;Somogy;Dél-Dunántúl;Dunántúl;691.4
2360;Ercsi;Martonvásári;Fejér;Közép-Dunántúl;Dunántúl;439.1
2529;Regenye;Pécsi;Baranya;Dél-Dunántúl;Dunántúl;281.6
2434;Bánk;Rétsági;Nógrád;Észak-Magyarország;Alföld és Észak;488.7
2435;Újszalonta;Sarkadi;Békés;Dél-Alföld;Alföld és Észak;422.5
1807;Somogyfajsz;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;398.4
2193;Cserháthaláp;Balassagyarmati;Nógrád;Észak-Magyarország;Alföld és Észak;447.6
1200;Szatymaz;Szegedi;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;524.1
3290;Kehidakustány;Zalaszentgróti;Zala;Nyugat-Dunántúl;Dunántúl;520.5
1280;Hajdúdorog;Hajdúböszörményi;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;414.2
227;Abaújvár;Gönci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;209.6
2411;Zselickislak;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;392.9
2743;Örménykút;Szarvasi;Békés;Dél-Alföld;Alföld és Észak;535.2
1908;Söjtör;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;450.7
785;Tiszaszőlős;Tiszafüredi;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;467.6
1178;Zalakaros;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;606.7
1179;Szank;Kiskunmajsai;Bács-Kiskun;Dél-Alföld;Alföld és Észak;567.6
1284;Kisjakabfalva;Siklósi;Baranya;Dél-Dunántúl;Dunántúl;420.5
2432;Felsőpetény;Rétsági;Nógrád;Észak-Magyarország;Alföld és Észak;495.6
2593;Balotaszállás;Kiskunhalasi;Bács-Kiskun;Dél-Alföld;Alföld és Észak;480.6
2972;Tiszafüred;Tiszafüredi;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;399.2
1351;Jászszentandrás;Jászapáti;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;490.2
1357;Budapest; ; ;Budapest;Közép-Magyarország;429.2
1458;Vámosgyörk;Gyöngyösi;Heves;Észak-Magyarország;Alföld és Észak;396.9
3109;Hajdúsámson;Debreceni;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;439.7
2137;Kisbucsa;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;579.3
2638;Gátér;Kiskunfélegyházi;Bács-Kiskun;Dél-Alföld;Alföld és Észak;516.6
1552;Pér;Győri;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;480.6
1561;Zalkod;Sárospataki;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;348.3
3176;Ököritófülpös;Mátészalkai;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;254.4
3195;Debréte;Edelényi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;692.3
1774;Zádor;Szigetvári;Baranya;Dél-Dunántúl;Dunántúl;340.4
3335;Terem;Nyírbátori;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;593.3
1670;Écs;Pannonhalmi;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;523.9
1674;Bajna;Esztergomi;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;489.8
3203;Keléd;Celldömölki;Vas;Nyugat-Dunántúl;Dunántúl;463.2
3205;Zalaegerszeg;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;491.9
1416;Harc;Szekszárdi;Tolna;Dél-Dunántúl;Dunántúl;538.7
2024;Heréd;Hatvani;Heves;Észak-Magyarország;Alföld és Észak;486
2030;Apagy;Nyíregyházi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;466.5
1442;Alsógagy;Encsi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;418.6
1247;Kemenesszentpéter;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;437.5
